Book;Chapter;Verse;Content
Isaiah;19;23;"In that day there will be a highway from Egypt to Assyria, and Assyria will come into Egypt, and Egypt into Assyria, and the Egyptians will worship with the Assyrians."
Isaiah;19;24;"In that day Israel will be the third with Egypt and Assyria, a blessing in the midst of the earth,"
Isaiah;19;25;"whom the Lord of hosts has blessed, saying, “Blessed be Egypt my people, and Assyria the work of my hands, and Israel my inheritance.”"
Isaiah;20;20;"In the year that the commander in chief, who was sent by Sargon the king of Assyria, came to Ashdod and fought against it and captured it—"
Isaiah;20;2;"at that time the Lord spoke by Isaiah the son of Amoz, saying, “Go, and loose the sackcloth from your waist and take off your sandals from your feet,” and he did so, walking naked and barefoot."
Isaiah;20;3;"Then the Lord said, “As my servant Isaiah has walked naked and barefoot for three years as a sign and a portent against Egypt and Cush,"
Isaiah;20;4;"so shall the king of Assyria lead away the Egyptian captives and the Cushite exiles, both the young and the old, naked and barefoot, with buttocks uncovered, the nakedness of Egypt."
Isaiah;20;5;"Then they shall be dismayed and ashamed because of Cush their hope and of Egypt their boast."
Isaiah;20;6;"And the inhabitants of this coastland will say in that day, ‘Behold, this is what has happened to those in whom we hoped and to whom we fled for help to be delivered from the king of Assyria! And we, how shall we escape?’”"
Isaiah;21;21;"The oracle concerning the wilderness of the sea."
Isaiah;21;2;"A stern vision is told to me;"
Isaiah;21;3;"Therefore my loins are filled with anguish;"
Isaiah;21;4;"My heart staggers; horror has appalled me;"
Isaiah;21;5;"They prepare the table,"
Isaiah;21;6;"For thus the Lord said to me:"
Isaiah;21;7;"When he sees riders, horsemen in pairs,"
Isaiah;21;8;"Then he who saw cried out:"
Isaiah;21;9;"And behold, here come riders,"
Isaiah;21;10;"O my threshed and winnowed one,"
Isaiah;21;11;"The oracle concerning Dumah."
Isaiah;21;12;"The watchman says:"
Isaiah;21;13;"The oracle concerning Arabia."
Isaiah;21;14;"To the thirsty bring water;"
Isaiah;21;15;"For they have fled from the swords,"
Isaiah;21;16;"For thus the Lord said to me, “Within a year, according to the years of a hired worker, all the glory of Kedar will come to an end."
Isaiah;21;17;"And the remainder of the archers of the mighty men of the sons of Kedar will be few, for the Lord, the God of Israel, has spoken.”"
Isaiah;22;22;"The oracle concerning the valley of vision."
Isaiah;22;2;"you who are full of shoutings,"
